,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
121,Pitam Pura,28.703245000000006,77.132225,Gulab Sweets,28.699974162781096,77.13701091015463,Snack Place
122,Pitam Pura,28.703245000000006,77.132225,JD Market,28.700977549043778,77.13608264923096,Market
123,Pitam Pura,28.703245000000006,77.132225,Lotus Leaf,28.708692242547116,77.13585699074078,Indian Restaurant
124,Pitam Pura,28.703245000000006,77.132225,Rohini East Metro Station,28.70760245063888,77.1259331703186,Light Rail Station
125,Pitam Pura,28.703245000000006,77.132225,"Haldiram's@D Mall,Rohini",28.70248201882933,77.12241812045136,Indian Restaurant
126,Pitam Pura,28.703245000000006,77.132225,Sita Ram Diwan Chand Chhole Bhature,28.700147505686903,77.14156468219393,Indian Restaurant
127,Pitam Pura,28.703245000000006,77.132225,Kohat Enclave Metro Station,28.698066,77.140421,Light Rail Station
128,Pitam Pura,28.703245000000006,77.132225,Sai baba chowk,28.708354501361196,77.12390360700064,Bus Station
129,Rani Bagh,28.685982,77.132524,Chunmun Store,28.68997711346211,77.1346271047693,Department Store
130,Rani Bagh,28.685982,77.132524,Raani Bagh Market,28.68676937880406,77.12982316986646,Department Store
131,Rani Bagh,28.685982,77.132524,The Good Food Cafe,28.68828560558589,77.13519407188082,Fast Food Restaurant
132,Rani Bagh,28.685982,77.132524,Shakurbasti Railway Station,28.68052616655129,77.12759613990784,Train Station
133,Rani Bagh,28.685982,77.132524,Pikwik,28.693364440369326,77.13120524513134,Diner
134,Rithala,28.720785,77.107155,Crowne Plaza,28.720047258613377,77.11043310491654,Hotel
135,Rithala,28.720785,77.107155,Adventure Island,28.72413198820313,77.11362473119337,Theme Park
136,Rithala,28.720785,77.107155,McDonald's,28.724240065536936,77.11315273548357,Fast Food Restaurant
137,Rithala,28.720785,77.107155,Shoppers Stop,28.719713914615454,77.10968138708341,Clothing Store
138,Rithala,28.720785,77.107155,Rithala Metro Station,28.72077572422933,77.10717916488647,Light Rail Station
139,Rithala,28.720785,77.107155,Metro Walk Mall,28.72402930658018,77.11332692459308,Shopping Mall
140,Rithala,28.720785,77.107155,More Mega Store,28.71692568011605,77.11434495074039,Department Store
141,Rithala,28.720785,77.107155,Pind Baluchi,28.724008889184102,77.11358539828862,Asian Restaurant
142,Rithala,28.720785,77.107155,Pantaloons,28.723835832359836,77.11403491643017,Clothing Store
143,Rithala,28.720785,77.107155,D mall,28.71477915410365,77.11233797660711,Shopping Mall
144,Rithala,28.720785,77.107155,New York Creamery & Cafe,28.716687,77.114362,Café
145,Rithala,28.720785,77.107155,City Center,28.71698741640009,77.11429607033602,Shopping Mall
146,Rohini Sub City,28.73732,77.09098,TIHCC- Revenue Reputation Research (The International Hotel Commerical Company),28.73706312332655,77.09009242051252,Business Service
147,Shalimar Bagh,28.71302,77.158752,Shalimar bagh club,28.711882012456098,77.15793345551063,Indian Restaurant
148,Shalimar Bagh,28.71302,77.158752,Ever Bake,28.706418633518236,77.16260739997145,Bakery
149,Shalimar Bagh,28.71302,77.158752,Cafe Coffee Day,28.707933601581548,77.16147766720368,Coffee Shop
150,Shalimar Bagh,28.71302,77.158752,Domino's Pizza,28.706,77.163,Pizza Place
151,Shalimar Bagh,28.71302,77.158752,24 SEVEN,28.71353407871715,77.15734929638812,Convenience Store
152,Shalimar Bagh,28.71302,77.158752,McDonald's,28.71331172786057,77.15792783860965,Restaurant
153,Shalimar Bagh,28.71302,77.158752,Shalimar Bagh Club,28.707350921747665,77.1612810813635,Hotel
154,Shalimar Bagh,28.71302,77.158752,AL Market,28.705236639786722,77.16146478980582,Convenience Store
155,Shakti Nagar,28.678699,77.19516800000002,Bille Di Hatti | बिल्ले दी हट्टी,28.681587650228284,77.20171940298643,Breakfast Spot
156,Shakti Nagar,28.678699,77.19516800000002,Mad Over Donuts,28.680756979848095,77.20388888228172,Donut Shop
157,Shakti Nagar,28.678699,77.19516800000002,Gopal Sweets,28.682659955224068,77.19966531984826,Breakfast Spot
158,Shakti Nagar,28.678699,77.19516800000002,Starbucks | स्टारबक्स,28.680849982842012,77.20391012907784,Coffee Shop
159,Shakti Nagar,28.678699,77.19516800000002,Kamla Nagar Market,28.684488757456002,77.2029447555542,Miscellaneous Shop
160,Shakti Nagar,28.678699,77.19516800000002,Chicago Pizza,28.681589774555057,77.20320224761963,Pizza Place
161,Shakti Nagar,28.678699,77.19516800000002,Shakti Nagar,28.68210305063585,77.19670621602154,Playground
162,Shakti Nagar,28.678699,77.19516800000002,Roshanara Garden | रोशनारा बाग,28.67425432760321,77.19936211336687,Park
163,Shakti Nagar,28.678699,77.19516800000002,Ghanta Ghar Market,28.676372069622218,77.20309037619793,Flea Market
164,Shakti Nagar,28.678699,77.19516800000002,Raju Chat Bhandar,28.680198127181672,77.185340773901,Snack Place
165,Bara Hindu Rao,28.661055,77.20671999999998,Changhezi,28.65534550356458,77.20046500101152,Indian Restaurant
166,Bara Hindu Rao,28.661055,77.20671999999998,Choley Kulchey Wala,28.661101478156155,77.2122027894986,Food Truck
167,Bara Hindu Rao,28.661055,77.20671999999998,Pulbangsh metro station,28.66641586680745,77.2074294090271,Metro Station
168,Bara Hindu Rao,28.661055,77.20671999999998,Ashok & Ashok Meat Dhaba,28.65617797422649,77.21057462172848,Dhaba
169,Bara Hindu Rao,28.661055,77.20671999999998,"Canteen,Delhi University",28.666967089910766,77.2088004547849,Fast Food Restaurant
170,Bara Hindu Rao,28.661055,77.20671999999998,foodholic,28.654930431106735,77.20436096191406,Café
171,Bara Hindu Rao,28.661055,77.20671999999998,Delhi Kishan Ganj Railway Station,28.663164067441667,77.19933965359665,Train Station
172,Bara Hindu Rao,28.661055,77.20671999999998,Shidipura,28.653451125094556,77.20404488244918,Gift Shop
173,Bara Hindu Rao,28.661055,77.20671999999998,Prem dhaba,28.65503065442729,77.20064231323143,Asian Restaurant
174,Bara Hindu Rao,28.661055,77.20671999999998,Nand Di Hatti,28.656689671382107,77.21536923091118,Breakfast Spot
175,Bara Hindu Rao,28.661055,77.20671999999998,Pratap Nagar Metro Station,28.666660624691875,77.19888925552368,Light Rail Station
176,Bara Hindu Rao,28.661055,77.20671999999998,Mitticool,28.66934351017921,77.21058905124664,Business Service
177,Chandni Chowk,28.659731,77.234459,Red Fort Archaeological Museum | लाल किला पुरातत्व संग्रहालय (Red Fort Archaeological Museum),28.655964042955148,77.23765543361783,Museum
178,Chandni Chowk,28.659731,77.234459,Jalebi Wala | जलेबी वाला,28.656177651209596,77.23352648405536,Dessert Shop
179,Chandni Chowk,28.659731,77.234459,Haveli Dharampura,28.65324701401681,77.232309176437,Hotel
180,Chandni Chowk,28.659731,77.234459,Red Fort | Lal Qila | लाल क़िला | لال قلعہ (Red Fort (Lal Qila)),28.655758930875194,77.2419548034668,Monument / Landmark
181,Chandni Chowk,28.659731,77.234459,Parawthe Wale,28.65603318700734,77.23050001546382,Indian Restaurant
182,Chandni Chowk,28.659731,77.234459,Chandni Chowk | चाँदनी चौक (Chandni Chowk),28.656076323925312,77.23073986324933,Market
183,Chandni Chowk,28.659731,77.234459,Jolly Creations Designer Boutique,28.662689090022976,77.2262995390695,Boutique
184,Chandni Chowk,28.659731,77.234459,Haldiram's,28.656288944079645,77.23170543090595,Snack Place
185,Chandni Chowk,28.659731,77.234459,Parathe Wali Gali | पराँठे वाली गली,28.65609952896119,77.2304785201278,Market
186,Chandni Chowk,28.659731,77.234459,Babu Ram Paranthe Wale,28.655820126621173,77.23044812679291,Indian Restaurant
187,Chandni Chowk,28.659731,77.234459,Kinari Bazaar | किनारी बाजार,28.6548009358371,77.23301890281758,Flea Market
188,Chandni Chowk,28.659731,77.234459,McDonald's,28.661166313684927,77.22759628817572,Fast Food Restaurant
189,Chandni Chowk,28.659731,77.234459,Nai Sarak | नई सड़क,28.65283927807197,77.22870777607294,Paper / Office Supplies Store
190,Chandni Chowk,28.659731,77.234459,McDonald's,28.656161882924813,77.23420838244962,Fast Food Restaurant
191,Chandni Chowk,28.659731,77.234459,McDonald's,28.66128895525179,77.22716404005617,Fast Food Restaurant
192,Chandni Chowk,28.659731,77.234459,Natraj | नटराज,28.656357336560394,77.23058723790143,Snack Place
193,Chandni Chowk,28.659731,77.234459,Pt. Gaya Prasad Shiv Charan Paranthewale | पंडित गया प्रसाद शिव चरण परांठे वाले,28.656027192178698,77.23043753835134,Indian Restaurant
194,Chandni Chowk,28.659731,77.234459,Ganga Bhojnayala,28.6561928700265,77.2304423499098,Indian Restaurant
195,Chandni Chowk,28.659731,77.234459,Kashmere Gate,28.663699361958138,77.22967068287404,Historic Site
196,Chandni Chowk,28.659731,77.234459,Hotel Tara Palace,28.654309627473666,77.23420892568785,Hotel
197,Chandni Chowk,28.659731,77.234459,Comesum,28.660668497816566,77.22781022853489,Restaurant
198,Chandni Chowk,28.659731,77.234459,Bikanerwala,28.656673589194828,77.22512066388722,Vegetarian / Vegan Restaurant
199,Chandni Chowk,28.659731,77.234459,Old Delhi Railway Station (DLI),28.660579163305297,77.22856521606445,Train Station
200,Chawri Bazaar,28.649927,77.229788,Karim's | करीम | کریم (Karim's),28.64949759295152,77.2336908547362,Indian Restaurant
201,Chawri Bazaar,28.649927,77.229788,Jama Masjid  |जामा मस्जिद | جامع مسجد (Jama Masjid),28.650135601332995,77.23354094263017,Mosque
202,Chawri Bazaar,28.649927,77.229788,Haveli Dharampura,28.65324701401681,77.232309176437,Hotel
203,Chawri Bazaar,28.649927,77.229788,Al Jawahar | अल जवाहर | امام جواہر,28.649608846249652,77.23355530889293,Indian Restaurant
204,Chawri Bazaar,28.649927,77.229788,Chawri Bazaar | चावड़ी बाजार,28.649770989776663,77.22736358642578,Hardware Store
205,Chawri Bazaar,28.649927,77.229788,Parawthe Wale,28.65603318700734,77.23050001546382,Indian Restaurant
206,Chawri Bazaar,28.649927,77.229788,Chandni Chowk | चाँदनी चौक (Chandni Chowk),28.656076323925312,77.23073986324933,Market
207,Chawri Bazaar,28.649927,77.229788,Nai Sarak | नई सड़क,28.65283927807197,77.22870777607294,Paper / Office Supplies Store
208,Chawri Bazaar,28.649927,77.229788,Jalebi Wala | जलेबी वाला,28.656177651209596,77.23352648405536,Dessert Shop
209,Chawri Bazaar,28.649927,77.229788,Parathe Wali Gali | पराँठे वाली गली,28.65609952896119,77.2304785201278,Market
210,Chawri Bazaar,28.649927,77.229788,Haldiram's,28.656288944079645,77.23170543090595,Snack Place
211,Chawri Bazaar,28.649927,77.229788,Babu Ram Paranthe Wale,28.655820126621173,77.23044812679291,Indian Restaurant
212,Chawri Bazaar,28.649927,77.229788,Kinari Bazaar | किनारी बाजार,28.6548009358371,77.23301890281758,Flea Market
213,Chawri Bazaar,28.649927,77.229788,KFC,28.644982021197148,77.22350390164345,Fast Food Restaurant
214,Chawri Bazaar,28.649927,77.229788,Pt. Gaya Prasad Shiv Charan Paranthewale | पंडित गया प्रसाद शिव चरण परांठे वाले,28.656027192178698,77.23043753835134,Indian Restaurant
215,Chawri Bazaar,28.649927,77.229788,Natraj | नटराज,28.656357336560394,77.23058723790143,Snack Place
216,Chawri Bazaar,28.649927,77.229788,McDonald's,28.656161882924813,77.23420838244962,Fast Food Restaurant
217,Chawri Bazaar,28.649927,77.229788,Chawri Bazar | चावड़ी बाजार Metro Station,28.649243733300782,77.22656965255737,Light Rail Station
218,Chawri Bazaar,28.649927,77.229788,Hotel Tara Palace,28.654309627473666,77.23420892568785,Hotel
219,Chawri Bazaar,28.649927,77.229788,Ganga Bhojnayala,28.6561928700265,77.2304423499098,Indian Restaurant
